pixel,Species,dens_m2,w_pixel,lon,lat
1980,PFUR,0,0,-80.0750027155939,26.97499954253311
1980,PPOR,0,0,-80.0750027155939,26.97499954253311
1980,PSTR,0,0,-80.0750027155939,26.97499954253311
1980,SCOL,0,0,-80.0750027155939,26.97499954253311
1980,SINT,0.01,1.493649790566247e-4,-80.0750027155939,26.97499954253311
1980,SOLE,0.01,0.0023576840079267292,-80.0750027155939,26.97499954253311
1980,SRAD,0.51,0.04627880251650727,-80.0750027155939,26.97499954253311
1980,SSID,0,0,-80.0750027155939,26.97499954253311
2345,AAGA,0,0,-80.02500271389825,26.774999545924892
2345,ACER,0,0,-80.02500271389825,26.774999545924892
2345,AGAR,0,0,-80.02500271389825,26.774999545924892
2345,APAL,0,0,-80.02500271389825,26.774999545924892
2345,CNAT,0.025,0.008435240823831559,-80.02500271389825,26.774999545924892
2345,DLAB,0,0,-80.02500271389825,26.774999545924892
2345,DSTO,0,0,-80.02500271389825,26.774999545924892
2345,EFAS,0,0,-80.02500271389825,26.774999545924892
2345,HCUC,0,0,-80.02500271389825,26.774999545924892
2345,MANG,0,0,-80.02500271389825,26.774999545924892
2345,MARE,0,0,-80.02500271389825,26.774999545924892
2345,MAUR,0,0,-80.02500271389825,26.774999545924892
2345,MCAV,0.1,0.0032869685393118533,-80.02500271389825,26.774999545924892
2345,MDEC,0,0,-80.02500271389825,26.774999545924892
2345,MMEA,0.025,0.016096076909553246,-80.02500271389825,26.774999545924892
2345,MYCE,0,0,-80.02500271389825,26.774999545924892
2345,OCUL,0,0,-80.02500271389825,26.774999545924892
2345,ORBI,0,0,-80.02500271389825,26.774999545924892
2345,PAST,0.0125,1.209190031070694e-4,-80.02500271389825,26.774999545924892
2345,PCLI,0,0,-80.02500271389825,26.774999545924892
2345,PDIV,0,0,-80.02500271389825,26.774999545924892
2345,PFUR,0,0,-80.02500271389825,26.774999545924892
2345,PPOR,0,0,-80.02500271389825,26.774999545924892
2345,PSTR,0,0,-80.02500271389825,26.774999545924892
2345,SCOL,0,0,-80.02500271389825,26.774999545924892
2345,SINT,0.0625,9.335311191039043e-4,-80.02500271389825,26.774999545924892
2345,SOLE,0,0,-80.02500271389825,26.774999545924892
2345,SRAD,0.39999999999999997,0.03629710001294687,-80.02500271389825,26.774999545924892
2345,SSID,0,0,-80.02500271389825,26.774999545924892
2436,AAGA,0.008333333333333333,2.825508081018973e-4,-80.02500271389825,26.72499954677284
2436,ACER,0,0,-80.02500271389825,26.72499954677284
2436,AGAR,0,0,-80.02500271389825,26.72499954677284
2436,APAL,0,0,-80.02500271389825,26.72499954677284
2436,CNAT,0.008333333333333335,0.002811746941277187,-80.02500271389825,26.72499954677284
2436,DLAB,0,0,-80.02500271389825,26.72499954677284
2436,DSTO,0.08333333333333333,0.018097209767919252,-80.02500271389825,26.72499954677284
2436,EFAS,0,0,-80.02500271389825,26.72499954677284
2436,HCUC,0,0,-80.02500271389825,26.72499954677284
2436,MANG,0,0,-80.02500271389825,26.72499954677284
2436,MARE,0,0,-80.02500271389825,26.72499954677284
2436,MAUR,0.008333333333333335,0.010649627263045794,-80.02500271389825,26.72499954677284
2436,MCAV,0.3,0.009860905617935558,-80.02500271389825,26.72499954677284
2436,MDEC,0.04166666666666667,0.012551325957935133,-80.02500271389825,26.72499954677284
2436,MMEA,0.016666666666666666,0.010730717939702162,-80.02500271389825,26.72499954677284
2436,MYCE,0.01666666666666667,0.013203800808375557,-80.02500271389825,26.72499954677284
2436,OCUL,0,0,-80.02500271389825,26.72499954677284
2436,ORBI,0,0,-80.02500271389825,26.72499954677284
